category,canonical,aliases
DevOps,Azure Pipelines,"Azure Pipelines Skill, Azure Pipelines Expert, Azure Pipelines Dev"
DevOps,Bitbucket Pipelines,"BP, Bitbucket Pipelines Skill, Bitbucket Pipelines Expert"
DevOps,Drone CI,"Drone CI Skill, Drone CI Expert, Drone CI Dev"
DevOps,Tekton,"Tekton Skill, Tekton Expert, Tekton Dev"
DevOps,Spinnaker,"Spinnaker Skill, Spinnaker Expert, Spinnaker Dev"
DevOps,Octopus Deploy,"Octopus Deploy Skill, Octopus Deploy Expert, Octopus Deploy Dev"
DevOps,Harness,"Harness Skill, Harness Expert, Harness Dev"
DevOps,Argo Workflows,"Argo Workflows Skill, Argo Workflows Expert, Argo Workflows Dev"
DevOps,Grafana,"Grafana Skill, Grafana Expert, Grafana Dev"
DevOps,Alertmanager,"Alertmanager Skill, Alertmanager Expert, Alertmanager Dev"
DevOps,Loki,"Loki Skill, Loki Expert, Loki Dev"
DevOps,Tempo,"Tempo Skill, Tempo Expert, Tempo Dev"
DevOps,Jaeger,"Jaeger Skill, Jaeger Expert, Jaeger Dev"
DevOps,Zipkin,"Zipkin Skill, Zipkin Expert, Zipkin Dev"
DevOps,OpenTelemetry,"OpenTelemetry Skill, OpenTelemetry Expert, OpenTelemetry Dev"
DevOps,Datadog,"Datadog Skill, Datadog Expert, Datadog Dev"
DevOps,New Relic,"NR, New Relic Skill, New Relic Expert"
DevOps,Splunk,"Splunk Skill, Splunk Expert, Splunk Dev"
DevOps,ELK Stack,"ES, ELK Stack Skill, ELK Stack Expert"
DevOps,EFK Stack,"EFK Stack Skill, EFK Stack Expert, EFK Stack Dev"
DevOps,Fluentd,"Fluentd Skill, Fluentd Expert, Fluentd Dev"
DevOps,Fluent Bit,"FB, Fluent Bit Skill, Fluent Bit Expert"
DevOps,Logstash,"Logstash Skill, Logstash Expert, Logstash Dev"
DevOps,Filebeat,"Filebeat Skill, Filebeat Expert, Filebeat Dev"
DevOps,Metricbeat,"Metricbeat Skill, Metricbeat Expert, Metricbeat Dev"
DevOps,Nagios,"Nagios Skill, Nagios Expert, Nagios Dev"
DevOps,Zabbix,"Zabbix Skill, Zabbix Expert, Zabbix Dev"
DevOps,Icinga,"Icinga Skill, Icinga Expert, Icinga Dev"
DevOps,Sensu,"Sensu Skill, Sensu Expert, Sensu Dev"
DevOps,PagerDuty,"PagerDuty Skill, PagerDuty Expert, PagerDuty Dev"
DevOps,Opsgenie,"Opsgenie Skill, Opsgenie Expert, Opsgenie Dev"
DevOps,SRE Practices,"SP, SRE Practices Skill, SRE Practices Expert"
Machine Learning,Machine Learning,"ML, Machine Learning Skill, Machine Learning Expert"
Machine Learning,Deep Learning,"DL, Deep Learning Skill, Deep Learning Expert"
Machine Learning,Supervised Learning,"Supervised Learning Skill, Supervised Learning Expert, Supervised Learning Dev"
Machine Learning,Unsupervised Learning,"UL, Unsupervised Learning Skill, Unsupervised Learning Expert"
Machine Learning,Semi-Supervised Learning,"SSL, Semi-Supervised Learning Skill, Semi-Supervised Learning Expert"
Machine Learning,Reinforcement Learning,"RL, Reinforcement Learning Skill, Reinforcement Learning Expert"
Machine Learning,Natural Language Processing,"NLP, Natural Language Processing Skill, Natural Language Processing Expert"
Machine Learning,Computer Vision,"CV, Computer Vision Skill, Computer Vision Expert"
Machine Learning,Generative AI,"Generative AI Skill, Generative AI Expert, Generative AI Dev"
Machine Learning,Large Language Models,"LLM, Large Language Models Skill, Large Language Models Expert"
Machine Learning,Prompt Engineering,"PE, Prompt Engineering Skill, Prompt Engineering Expert"
Machine Learning,Retrieval-Augmented Generation,"RAG, Retrieval-Augmented Generation Skill, Retrieval-Augmented Generation Expert"
Machine Learning,Fine-Tuning,"FT, Fine-Tuning Skill, Fine-Tuning Expert"
Machine Learning,Transfer Learning,"TL, Transfer Learning Skill, Transfer Learning Expert"
Machine Learning,Feature Engineering,"FE, Feature Engineering Skill, Feature Engineering Expert"
Machine Learning,Feature Selection,"Feature Selection Skill, Feature Selection Expert, Feature Selection Dev"
Machine Learning,Model Evaluation,"ME, Model Evaluation Skill, Model Evaluation Expert"
Machine Learning,Model Deployment,"MD, Model Deployment Skill, Model Deployment Expert"
Machine Learning,MLOps,"MLOps Skill, MLOps Expert, MLOps Dev"
Machine Learning,AutoML,"AutoML Skill, AutoML Expert, AutoML Dev"
Machine Learning,Explainable AI,"EA, Explainable AI Skill, Explainable AI Expert"
Machine Learning,Responsible AI,"RA, Responsible AI Skill, Responsible AI Expert"
Machine Learning,AI Governance,"AI Governance Skill, AI Governance Expert, AI Governance Dev"
Machine Learning,Data Labeling,"Data Labeling Skill, Data Labeling Expert, Data Labeling Dev"
Machine Learning,Data Annotation,"DA, Data Annotation Skill, Data Annotation Expert"
Machine Learning,Regression Analysis,"Regression Analysis Skill, Regression Analysis Expert, Regression Analysis Dev"
Machine Learning,Logistic Regression,"LR, Logistic Regression Skill, Logistic Regression Expert"
Machine Learning,Linear Regression,"Linear Regression Skill, Linear Regression Expert, Linear Regression Dev"
Machine Learning,Decision Trees,"DT, Decision Trees Skill, Decision Trees Expert"
Machine Learning,Random Forest,"RF, Random Forest Skill, Random Forest Expert"
Machine Learning,Gradient Boosting,"Gradient Boosting Skill, Gradient Boosting Expert, Gradient Boosting Dev"
Machine Learning,Support Vector Machines,"SVM, Support Vector Machines Skill, Support Vector Machines Expert"
Machine Learning,K-Means Clustering,"KMC, K-Means Clustering Skill, K-Means Clustering Expert"
Machine Learning,DBSCAN,"DBSCAN Skill, DBSCAN Expert, DBSCAN Dev"
Machine Learning,Principal Component Analysis,"PCA, Principal Component Analysis Skill, Principal Component Analysis Expert"
Machine Learning,t-SNE,"t-SNE Skill, t-SNE Expert, t-SNE Dev"
Machine Learning,UMAP,"UMAP Skill, UMAP Expert, UMAP Dev"
Machine Learning,Naive Bayes,"NB, Naive Bayes Skill, Naive Bayes Expert"
Machine Learning,k-Nearest Neighbors,"KNN, k-Nearest Neighbors Skill, k-Nearest Neighbors Expert"
Machine Learning,Association Rule Mining,"Association Rule Mining Skill, Association Rule Mining Expert, Association Rule Mining Dev"
Machine Learning,Time Series Forecasting,"TSF, Time Series Forecasting Skill, Time Series Forecasting Expert"
Machine Learning,Anomaly Detection,"Anomaly Detection Skill, Anomaly Detection Expert, Anomaly Detection Dev"
Machine Learning,Recommendation Systems,"RS, Recommendation Systems Skill, Recommendation Systems Expert"
Machine Learning,Collaborative Filtering,"CF, Collaborative Filtering Skill, Collaborative Filtering Expert"
Machine Learning,Content-Based Filtering,"CBF, Content-Based Filtering Skill, Content-Based Filtering Expert"
Machine Learning,Neural Networks,"NN, Neural Networks Skill, Neural Networks Expert"
Machine Learning,Convolutional Neural Networks,"CNN, Convolutional Neural Networks Skill, Convolutional Neural Networks Expert"
Machine Learning,Recurrent Neural Networks,"RNN, Recurrent Neural Networks Skill, Recurrent Neural Networks Expert"
Machine Learning,Long Short-Term Memory,"LSTM, Long Short-Term Memory Skill, Long Short-Term Memory Expert"
Machine Learning,Gated Recurrent Unit,"GRU, Gated Recurrent Unit Skill, Gated Recurrent Unit Expert"
Machine Learning,Transformers,"Transformers Skill, Transformers Expert, Transformers Dev"
Machine Learning,Attention Mechanism,"Attention Mechanism Skill, Attention Mechanism Expert, Attention Mechanism Dev"
Machine Learning,BERT,"BERT Skill, BERT Expert, BERT Dev"
Machine Learning,GPT,"GPT Skill, GPT Expert, GPT Dev"
Machine Learning,LLaMA,"LLaMA Skill, LLaMA Expert, LLaMA Dev"
Machine Learning,Mistral,"Mistral Skill, Mistral Expert, Mistral Dev"
Machine Learning,Gemma,"Gemma Skill, Gemma Expert, Gemma Dev"
Machine Learning,Ollama,"Ollama AI, Ollama LLM, Local Ollama"
Machine Learning,Hugging Face,"HF, HuggingFace, Hugging Face Hub"
Machine Learning,OpenAI API,"OA, OpenAI API Skill, OpenAI API Expert"
Machine Learning,Anthropic Claude API,"ACA, Anthropic Claude API Skill, Anthropic Claude API Expert"
Machine Learning,Vector Embeddings,"VE, Vector Embeddings Skill, Vector Embeddings Expert"
Machine Learning,Sentence Transformers,"ST, Sentence Transformers Skill, Sentence Transformers Expert"
Machine Learning,Word2Vec,"Word2Vec Skill, Word2Vec Expert, Word2Vec Dev"
Machine Learning,GloVe,"GloVe Skill, GloVe Expert, GloVe Dev"
Machine Learning,FastText,"FastText Skill, FastText Expert, FastText Dev"
Machine Learning,spaCy,"spaCy Skill, spaCy Expert, spaCy Dev"
Machine Learning,NLTK,"NLTK Skill, NLTK Expert, NLTK Dev"
Machine Learning,OpenCV,"OpenCV Skill, OpenCV Expert, OpenCV Dev"
Machine Learning,MediaPipe,"MediaPipe Skill, MediaPipe Expert, MediaPipe Dev"
Machine Learning,YOLO,"YOLO Skill, YOLO Expert, YOLO Dev"
Machine Learning,Detectron2,"Detectron2 Skill, Detectron2 Expert, Detectron2 Dev"
Machine Learning,Segment Anything Model,"SAM, Segment Anything Model Skill, Segment Anything Model Expert"
Machine Learning,JAX,"JAX Skill, JAX Expert, JAX Dev"
Machine Learning,MXNet,"MXNet Skill, MXNet Expert, MXNet Dev"
Data Engineering,Apache Kafka,"Kafka, Kafka Broker, Kafka Platform"
Data Engineering,Apache Airflow,"Airflow, Airflow DAGs, Airflow Scheduler"
Data Engineering,Apache Hadoop,"AH, Apache Hadoop Skill, Apache Hadoop Expert"
Data Engineering,Apache Hive,"Apache Hive Skill, Apache Hive Expert, Apache Hive Dev"
Data Engineering,Apache HBase,"Apache HBase Skill, Apache HBase Expert, Apache HBase Dev"
Data Engineering,Apache NiFi,"Apache NiFi Skill, Apache NiFi Expert, Apache NiFi Dev"
Data Engineering,Apache Sqoop,"Apache Sqoop Skill, Apache Sqoop Expert, Apache Sqoop Dev"
Data Engineering,Apache Oozie,"AO, Apache Oozie Skill, Apache Oozie Expert"
Data Engineering,Apache Flume,"Apache Flume Skill, Apache Flume Expert, Apache Flume Dev"
Data Engineering,Apache Storm,"Apache Storm Skill, Apache Storm Expert, Apache Storm Dev"
Data Engineering,Apache Samza,"Apache Samza Skill, Apache Samza Expert, Apache Samza Dev"
Data Engineering,Apache Pulsar,"Apache Pulsar Skill, Apache Pulsar Expert, Apache Pulsar Dev"
Data Engineering,Apache Iceberg,"Apache Iceberg Skill, Apache Iceberg Expert, Apache Iceberg Dev"
Data Engineering,Delta Lake,"Delta Lake Skill, Delta Lake Expert, Delta Lake Dev"
Data Engineering,Apache Hudi,"Apache Hudi Skill, Apache Hudi Expert, Apache Hudi Dev"
Data Engineering,Lakehouse Architecture,"LA, Lakehouse Architecture Skill, Lakehouse Architecture Expert"
Data Engineering,Data Lake,"Data Lake Skill, Data Lake Expert, Data Lake Dev"
Data Engineering,Data Warehouse,"DW, Data Warehouse Skill, Data Warehouse Expert"
Data Engineering,Data Mart,"DM, Data Mart Skill, Data Mart Expert"
Data Engineering,Data Mesh,"Data Mesh Skill, Data Mesh Expert, Data Mesh Dev"
Data Engineering,Data Fabric,"DF, Data Fabric Skill, Data Fabric Expert"
Data Engineering,ETL,"ETL Skill, ETL Expert, ETL Dev"
Data Engineering,ELT,"ELT Skill, ELT Expert, ELT Dev"
Data Engineering,Data Pipeline,"DP, Data Pipeline Skill, Data Pipeline Expert"
Data Engineering,Batch Processing,"Batch Processing Skill, Batch Processing Expert, Batch Processing Dev"
Data Engineering,Stream Processing,"Stream Processing Skill, Stream Processing Expert, Stream Processing Dev"
Data Engineering,Change Data Capture,"CDC, Change Data Capture Skill, Change Data Capture Expert"
Data Engineering,Debezium,"Debezium Skill, Debezium Expert, Debezium Dev"
Data Engineering,Kafka Connect,"KC, Kafka Connect Skill, Kafka Connect Expert"
Data Engineering,Kafka Streams,"KS, Kafka Streams Skill, Kafka Streams Expert"
Data Engineering,ksqlDB,"ksqlDB Skill, ksqlDB Expert, ksqlDB Dev"
Data Engineering,Schema Registry,"SR, Schema Registry Skill, Schema Registry Expert"
Data Engineering,Avro,"Avro Skill, Avro Expert, Avro Dev"
Data Engineering,Parquet,"Parquet Skill, Parquet Expert, Parquet Dev"
Data Engineering,ORC,"ORC Skill, ORC Expert, ORC Dev"
Data Engineering,Apache Arrow,"Apache Arrow Skill, Apache Arrow Expert, Apache Arrow Dev"
Data Engineering,dbt,"dbt Skill, dbt Expert, dbt Dev"
Data Engineering,Great Expectations,"GE, Great Expectations Skill, Great Expectations Expert"
Data Engineering,Soda Core,"Soda Core Skill, Soda Core Expert, Soda Core Dev"
Data Engineering,Data Quality,"DQ, Data Quality Skill, Data Quality Expert"
Data Engineering,Data Governance,"DG, Data Governance Skill, Data Governance Expert"
Data Engineering,Data Catalog,"Data Catalog Skill, Data Catalog Expert, Data Catalog Dev"
Data Engineering,Data Lineage,"Data Lineage Skill, Data Lineage Expert, Data Lineage Dev"
Data Engineering,OpenMetadata,"OpenMetadata Skill, OpenMetadata Expert, OpenMetadata Dev"
Data Engineering,DataHub,"DataHub Skill, DataHub Expert, DataHub Dev"
Data Engineering,Amundsen,"Amundsen Skill, Amundsen Expert, Amundsen Dev"
Data Engineering,Apache Atlas,"Apache Atlas Skill, Apache Atlas Expert, Apache Atlas Dev"
Data Engineering,Prefect,"Prefect Skill, Prefect Expert, Prefect Dev"
Data Engineering,Dagster,"Dagster Skill, Dagster Expert, Dagster Dev"
Data Engineering,Luigi,"Luigi Skill, Luigi Expert, Luigi Dev"
Data Engineering,Mage,"Mage Skill, Mage Expert, Mage Dev"
Data Engineering,Azkaban,"Azkaban Skill, Azkaban Expert, Azkaban Dev"
Data Engineering,Talend,"Talend Skill, Talend Expert, Talend Dev"
Data Engineering,Informatica PowerCenter,"IP, Informatica PowerCenter Skill, Informatica PowerCenter Expert"
Data Engineering,Fivetran,"Fivetran Skill, Fivetran Expert, Fivetran Dev"
Data Engineering,Airbyte,"Airbyte Skill, Airbyte Expert, Airbyte Dev"
Data Engineering,Stitch,"Stitch Skill, Stitch Expert, Stitch Dev"
Data Engineering,Matillion,"Matillion Skill, Matillion Expert, Matillion Dev"
Data Engineering,Azure Data Factory,"ADF, Azure Data Factory Skill, Azure Data Factory Expert"
Data Engineering,Amazon EMR,"Amazon EMR Skill, Amazon EMR Expert, Amazon EMR Dev"
Data Engineering,Amazon Kinesis,"AK, Amazon Kinesis Skill, Amazon Kinesis Expert"
Data Engineering,Azure Event Hubs,"AEH, Azure Event Hubs Skill, Azure Event Hubs Expert"
Data Engineering,Google Pub/Sub,"GPS, Google Pub/Sub Skill, Google Pub/Sub Expert"
Data Engineering,Snowflake Data Engineering,"SDE, Snowflake Data Engineering Skill, Snowflake Data Engineering Expert"
Data Engineering,BigQuery Data Engineering,"BDE, BigQuery Data Engineering Skill, BigQuery Data Engineering Expert"
Mobile Development,Android Development,"Android Development Skill, Android Development Expert, Android Development Dev"
Mobile Development,iOS Development,"iOS Development Skill, iOS Development Expert, iOS Development Dev"
Mobile Development,SwiftUI,"SwiftUI Skill, SwiftUI Expert, SwiftUI Dev"
Mobile Development,UIKit,"UIKit Skill, UIKit Expert, UIKit Dev"
Mobile Development,Jetpack Compose,"JC, Jetpack Compose Skill, Jetpack Compose Expert"
Mobile Development,Kotlin Multiplatform,"KM, Kotlin Multiplatform Skill, Kotlin Multiplatform Expert"
Mobile Development,Android SDK,"Android SDK Skill, Android SDK Expert, Android SDK Dev"
Mobile Development,iOS SDK,"IS, iOS SDK Skill, iOS SDK Expert"
Mobile Development,Xcode,"Xcode Skill, Xcode Expert, Xcode Dev"
Mobile Development,Android Studio,"Android Studio Skill, Android Studio Expert, Android Studio Dev"
Mobile Development,Gradle for Android,"GFA, Gradle for Android Skill, Gradle for Android Expert"
Mobile Development,CocoaPods,"CocoaPods Skill, CocoaPods Expert, CocoaPods Dev"
Mobile Development,Swift Package Manager,"SPM, Swift Package Manager Skill, Swift Package Manager Expert"
Mobile Development,Fastlane,"Fastlane Skill, Fastlane Expert, Fastlane Dev"
Mobile Development,Firebase Cloud Messaging,"FCM, Firebase Cloud Messaging Skill, Firebase Cloud Messaging Expert"
Mobile Development,Apple Push Notification Service,"APNS, Apple Push Notification Service Skill, Apple Push Notification Service Expert"
Mobile Development,Mobile App Security,"MAS, Mobile App Security Skill, Mobile App Security Expert"
Mobile Development,Mobile UI Design,"MUD, Mobile UI Design Skill, Mobile UI Design Expert"
Mobile Development,Responsive Design,"RD, Responsive Design Skill, Responsive Design Expert"
Mobile Development,Progressive Web Apps,"PWA, Progressive Web Apps Skill, Progressive Web Apps Expert"
Mobile Development,App Store Optimization,"ASO, App Store Optimization Skill, App Store Optimization Expert"
Mobile Development,Google Play Console,"GPC, Google Play Console Skill, Google Play Console Expert"
Mobile Development,Apple App Store Connect,"AASC, Apple App Store Connect Skill, Apple App Store Connect Expert"
Mobile Development,TestFlight,"TestFlight Skill, TestFlight Expert, TestFlight Dev"
Mobile Development,Android Jetpack,"Android Jetpack Skill, Android Jetpack Expert, Android Jetpack Dev"
Mobile Development,Room,"Room Skill, Room Expert, Room Dev"
Mobile Development,Core Data,"CD, Core Data Skill, Core Data Expert"
Mobile Development,Realm Mobile Database,"RMD, Realm Mobile Database Skill, Realm Mobile Database Expert"
Mobile Development,SQLite Mobile,"SM, SQLite Mobile Skill, SQLite Mobile Expert"
Mobile Development,Retrofit,"Retrofit Skill, Retrofit Expert, Retrofit Dev"
Mobile Development,Alamofire,"Alamofire Skill, Alamofire Expert, Alamofire Dev"
Mobile Development,OkHttp,"OkHttp Skill, OkHttp Expert, OkHttp Dev"
Mobile Development,Dagger Hilt,"DH, Dagger Hilt Skill, Dagger Hilt Expert"
Mobile Development,Koin,"Koin Skill, Koin Expert, Koin Dev"
Mobile Development,RxJava,"RxJava Skill, RxJava Expert, RxJava Dev"
Cybersecurity,Cybersecurity,"Cybersecurity Skill, Cybersecurity Expert, Cybersecurity Dev"
Cybersecurity,Information Security,"Information Security Skill, Information Security Expert, Information Security Dev"
Cybersecurity,Network Security,"NS, Network Security Skill, Network Security Expert"
Cybersecurity,Application Security,"Application Security Skill, Application Security Expert, Application Security Dev"
Cybersecurity,Cloud Security,"Cloud Security Skill, Cloud Security Expert, Cloud Security Dev"
Cybersecurity,Endpoint Security,"Endpoint Security Skill, Endpoint Security Expert, Endpoint Security Dev"
Cybersecurity,Identity and Access Management,"IAAM, Identity and Access Management Skill, Identity and Access Management Expert"
Cybersecurity,Zero Trust Architecture,"ZTA, Zero Trust Architecture Skill, Zero Trust Architecture Expert"
Cybersecurity,Security Operations Center,"SOC, Security Operations Center Skill, Security Operations Center Expert"
Cybersecurity,Incident Response,"IR, Incident Response Skill, Incident Response Expert"
Cybersecurity,Threat Hunting,"TH, Threat Hunting Skill, Threat Hunting Expert"
Cybersecurity,Digital Forensics,"Digital Forensics Skill, Digital Forensics Expert, Digital Forensics Dev"
Cybersecurity,Malware Analysis,"MA, Malware Analysis Skill, Malware Analysis Expert"
Cybersecurity,Reverse Engineering,"RE, Reverse Engineering Skill, Reverse Engineering Expert"
Cybersecurity,Vulnerability Management,"VM, Vulnerability Management Skill, Vulnerability Management Expert"
Cybersecurity,Penetration Testing,"PT, Penetration Testing Skill, Penetration Testing Expert"
Cybersecurity,Ethical Hacking,"EH, Ethical Hacking Skill, Ethical Hacking Expert"
Cybersecurity,Red Teaming,"RT, Red Teaming Skill, Red Teaming Expert"
Cybersecurity,Blue Teaming,"BT, Blue Teaming Skill, Blue Teaming Expert"
Cybersecurity,Purple Teaming,"Purple Teaming Skill, Purple Teaming Expert, Purple Teaming Dev"
Cybersecurity,Security Information and Event Management,"SIAEM, Security Information and Event Management Skill, Security Information and Event Management Expert"
Cybersecurity,Security Orchestration Automation and Response,"SOAAR, Security Orchestration Automation and Response Skill, Security Orchestration Automation and Response Expert"
Cybersecurity,Data Loss Prevention,"DLP, Data Loss Prevention Skill, Data Loss Prevention Expert"
Cybersecurity,Web Application Firewall,"WAF, Web Application Firewall Skill, Web Application Firewall Expert"
Cybersecurity,Firewall Management,"FM, Firewall Management Skill, Firewall Management Expert"
Cybersecurity,Intrusion Detection System,"IDS, Intrusion Detection System Skill, Intrusion Detection System Expert"
Cybersecurity,Intrusion Prevention System,"IPS, Intrusion Prevention System Skill, Intrusion Prevention System Expert"
Cybersecurity,Endpoint Detection and Response,"EDAR, Endpoint Detection and Response Skill, Endpoint Detection and Response Expert"
Cybersecurity,Extended Detection and Response,"Extended Detection and Response Skill, Extended Detection and Response Expert, Extended Detection and Response Dev"
Cybersecurity,Managed Detection and Response,"MDAR, Managed Detection and Response Skill, Managed Detection and Response Expert"
Cybersecurity,Threat Intelligence,"TI, Threat Intelligence Skill, Threat Intelligence Expert"
Cybersecurity,MITRE ATT&CK,"MAC, MITRE ATT&CK Skill, MITRE ATT&CK Expert"
Cybersecurity,OWASP Top 10,"OT1, OWASP Top 10 Skill, OWASP Top 10 Expert"
Cybersecurity,Secure Software Development Lifecycle,"SSDL, Secure Software Development Lifecycle Skill, Secure Software Development Lifecycle Expert"
Cybersecurity,DevSecOps,"DevSecOps Skill, DevSecOps Expert, DevSecOps Dev"
Cybersecurity,Static Application Security Testing,"SAST, Static Application Security Testing Skill, Static Application Security Testing Expert"
Cybersecurity,Dynamic Application Security Testing,"DAST, Dynamic Application Security Testing Skill, Dynamic Application Security Testing Expert"
Cybersecurity,Interactive Application Security Testing,"IAST, Interactive Application Security Testing Skill, Interactive Application Security Testing Expert"
Cybersecurity,Software Composition Analysis,"SCA, Software Composition Analysis Skill, Software Composition Analysis Expert"
Cybersecurity,Container Security,"Container Security Skill, Container Security Expert, Container Security Dev"
Cybersecurity,Kubernetes Security,"Kubernetes Security Skill, Kubernetes Security Expert, Kubernetes Security Dev"
Cybersecurity,API Security,"API Security Skill, API Security Expert, API Security Dev"
Cybersecurity,Mobile Security,"MS, Mobile Security Skill, Mobile Security Expert"
Cybersecurity,IoT Security,"IoT Security Skill, IoT Security Expert, IoT Security Dev"
Cybersecurity,Operational Technology Security,"OTS, Operational Technology Security Skill, Operational Technology Security Expert"
Cybersecurity,Industrial Control Systems Security,"ICSS, Industrial Control Systems Security Skill, Industrial Control Systems Security Expert"
Cybersecurity,Cryptography,"Cryptography Skill, Cryptography Expert, Cryptography Dev"
Cybersecurity,Public Key Infrastructure,"PKI, Public Key Infrastructure Skill, Public Key Infrastructure Expert"
Cybersecurity,Transport Layer Security,"TLS, Transport Layer Security Skill, Transport Layer Security Expert"
Cybersecurity,OAuth 2.0 Security,"O20S, OAuth 2.0 Security Skill, OAuth 2.0 Security Expert"
Cybersecurity,OpenID Connect Security,"OCS, OpenID Connect Security Skill, OpenID Connect Security Expert"
Cybersecurity,SAML Security,"SAML Security Skill, SAML Security Expert, SAML Security Dev"
Cybersecurity,Multi-Factor Authentication,"MFA, Multi-Factor Authentication Skill, Multi-Factor Authentication Expert"
Cybersecurity,Single Sign-On,"SSO, Single Sign-On Skill, Single Sign-On Expert"
Cybersecurity,Privileged Access Management,"PAM, Privileged Access Management Skill, Privileged Access Management Expert"
Cybersecurity,Secrets Management,"Secrets Management Skill, Secrets Management Expert, Secrets Management Dev"
Cybersecurity,Key Management,"Key Management Skill, Key Management Expert, Key Management Dev"
Cybersecurity,Security Compliance,"Security Compliance Skill, Security Compliance Expert, Security Compliance Dev"
Cybersecurity,Risk Assessment,"Risk Assessment Skill, Risk Assessment Expert, Risk Assessment Dev"
Cybersecurity,Governance Risk and Compliance,"GRAC, Governance Risk and Compliance Skill, Governance Risk and Compliance Expert"
Cybersecurity,ISO 27001,"I2, ISO 27001 Skill, ISO 27001 Expert"
Cybersecurity,SOC 2,"S2, SOC 2 Skill, SOC 2 Expert"
Cybersecurity,PCI DSS,"PD, PCI DSS Skill, PCI DSS Expert"
Cybersecurity,HIPAA Security,"HS, HIPAA Security Skill, HIPAA Security Expert"
Cybersecurity,GDPR Compliance,"GC, GDPR Compliance Skill, GDPR Compliance Expert"
Testing,Software Testing,"Software Testing Skill, Software Testing Expert, Software Testing Dev"
Testing,Manual Testing,"MT, Manual Testing Skill, Manual Testing Expert"
Testing,Automated Testing,"AT, Automated Testing Skill, Automated Testing Expert"
Testing,Unit Testing,"UT, Unit Testing Skill, Unit Testing Expert"
Testing,Integration Testing,"IT, Integration Testing Skill, Integration Testing Expert"
Testing,System Testing,"System Testing Skill, System Testing Expert, System Testing Dev"
Testing,End-to-End Testing,"ETET, End-to-End Testing Skill, End-to-End Testing Expert"
Testing,Regression Testing,"Regression Testing Skill, Regression Testing Expert, Regression Testing Dev"
Testing,Smoke Testing,"Smoke Testing Skill, Smoke Testing Expert, Smoke Testing Dev"
Testing,Sanity Testing,"Sanity Testing Skill, Sanity Testing Expert, Sanity Testing Dev"
Testing,Acceptance Testing,"Acceptance Testing Skill, Acceptance Testing Expert, Acceptance Testing Dev"
Testing,User Acceptance Testing,"UAT, User Acceptance Testing Skill, User Acceptance Testing Expert"
Testing,Exploratory Testing,"ET, Exploratory Testing Skill, Exploratory Testing Expert"
Testing,Functional Testing,"Functional Testing Skill, Functional Testing Expert, Functional Testing Dev"
Testing,Non-Functional Testing,"NFT, Non-Functional Testing Skill, Non-Functional Testing Expert"
Testing,Performance Testing,"Performance Testing Skill, Performance Testing Expert, Performance Testing Dev"
Testing,Load Testing,"LT, Load Testing Skill, Load Testing Expert"
Testing,Stress Testing,"Stress Testing Skill, Stress Testing Expert, Stress Testing Dev"
Testing,Scalability Testing,"Scalability Testing Skill, Scalability Testing Expert, Scalability Testing Dev"
Testing,Security Testing,"Security Testing Skill, Security Testing Expert, Security Testing Dev"
Testing,Usability Testing,"Usability Testing Skill, Usability Testing Expert, Usability Testing Dev"
Testing,Accessibility Testing,"Accessibility Testing Skill, Accessibility Testing Expert, Accessibility Testing Dev"
Testing,Compatibility Testing,"CT, Compatibility Testing Skill, Compatibility Testing Expert"
Testing,Cross-Browser Testing,"CBT, Cross-Browser Testing Skill, Cross-Browser Testing Expert"
Testing,Mobile Testing,"Mobile Testing Skill, Mobile Testing Expert, Mobile Testing Dev"
Testing,API Testing,"API Testing Skill, API Testing Expert, API Testing Dev"
Testing,Contract Testing,"Contract Testing Skill, Contract Testing Expert, Contract Testing Dev"
Testing,Mutation Testing,"Mutation Testing Skill, Mutation Testing Expert, Mutation Testing Dev"
Testing,Quality Assurance,"QA, Quality Assurance Skill, Quality Assurance Expert"
Testing,Quality Engineering,"QE, Quality Engineering Skill, Quality Engineering Expert"
Testing,Test Planning,"TP, Test Planning Skill, Test Planning Expert"
Testing,Test Case Design,"TCD, Test Case Design Skill, Test Case Design Expert"
Testing,Test Automation Framework,"TAF, Test Automation Framework Skill, Test Automation Framework Expert"
Testing,Selenium,"Selenium Skill, Selenium Expert, Selenium Dev"
Testing,Cypress,"Cypress Skill, Cypress Expert, Cypress Dev"
Testing,Playwright,"Playwright Skill, Playwright Expert, Playwright Dev"
Testing,Puppeteer,"Puppeteer Skill, Puppeteer Expert, Puppeteer Dev"
Testing,WebdriverIO,"WebdriverIO Skill, WebdriverIO Expert, WebdriverIO Dev"
Testing,TestCafe,"TestCafe Skill, TestCafe Expert, TestCafe Dev"
Testing,Appium,"Appium Skill, Appium Expert, Appium Dev"
Testing,TestNG,"TestNG Skill, TestNG Expert, TestNG Dev"
Testing,NUnit,"NUnit Skill, NUnit Expert, NUnit Dev"
Testing,xUnit.net,"XN, xUnit.net Skill, xUnit.net Expert"
Testing,MSTest,"MSTest Skill, MSTest Expert, MSTest Dev"
Testing,Pytest,"Pytest Skill, Pytest Expert, Pytest Dev"
Testing,unittest,"unittest Skill, unittest Expert, unittest Dev"
Testing,Robot Framework,"Robot Framework Skill, Robot Framework Expert, Robot Framework Dev"
Testing,Cucumber,"Cucumber Skill, Cucumber Expert, Cucumber Dev"
Testing,SpecFlow,"SpecFlow Skill, SpecFlow Expert, SpecFlow Dev"
